,NG-18809-DFG-ITS1-13_lib318461_6317_1,NG-18809-DFG-ITS1-14_lib318462_6317_1,NG-18809-DFG-ITS1-15_lib318463_6317_1,NG-18809-DFG-ITS1-16_lib318464_6317_1,NG-18809-DFG-ITS1-21_lib318469_6317_1,NG-18809-DFG-ITS1-24_lib318472_6317_1,NG-18809-DFG-ITS1-30_lib318478_6317_1,NG-18809-DFG-ITS1-34_lib318482_6317_1,NG-18809-DFG-ITS1-36_lib318484_6317_1,NG-18809-DFG-ITS1-4_lib318452_6317_1,NG-18809-DFG-ITS1-45_lib318493_6317_1,NG-18809-DFG-ITS1-47_lib318495_6317_1,NG-18809-DFG-ITS1-5_lib318453_6317_1,NG-18809-DFG-ITS1-6_lib318454_6317_1,NG-18809-DFG-ITS1-8_lib318456_6317_1,NG-18810-DFG-ITS2-0_lib317646_6313_1,NG-18810-DFG-ITS2-15_lib318510_6313_1,NG-18810-DFG-ITS2-18_lib318513_6313_1,NG-18810-DFG-ITS2-20_lib318515_6313_1,NG-18810-DFG-ITS2-21_lib318516_6313_1,NG-18810-DFG-ITS2-24_lib318519_6313_1,NG-18810-DFG-ITS2-26_lib318521_6313_1,NG-18810-DFG-ITS2-27_lib318522_6313_1,NG-18810-DFG-ITS2-28_lib318523_6313_1,NG-18810-DFG-ITS2-3_lib318498_6313_1,NG-18810-DFG-ITS2-34_lib318529_6313_1,NG-18810-DFG-ITS2-39_lib318534_6313_1,NG-18810-DFG-ITS2-42_lib318537_6313_1,NG-18810-DFG-ITS2-43_lib318538_6313_1,NG-18810-DFG-ITS2-9_lib318504_6313_1,taxonomy,Taxon,RS notes,Taxon Level,Trophic Mode,Guild,Growth Morphology,Trait,Confidence Ranking,Notes,Citation/Source
ASV1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000113625,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Ascobolaceae;g__unassigned;s__unassigned,Ascobolaceae,Saprotroph,9,Saprotroph,Dung Saprotroph-Soil Saprotroph-Wood Saprotrop,NULL,NULL,Probable,NULL,"b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
ASV1693,0,0,0,0,0.000119428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.02E-05,0,0,0,0,0,0,0,0,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__unassigned;s__unassigned,-,,-,-,-,-,-,-,Unassigned,-
ASV1694,0,0,0,3.72E-05,0,0,3.94E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Microbotryales;f__Microbotryaceae;g__unassigned;s__unassigned,Microbotryaceae,Pathotroph,9,Pathotroph,Plant Pathogen,Microfungus,NULL,Probable,"Biotrophic, almost all species occurring in dicot flowers and effectively replacing anthers or ovaries (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
ASV1703,0,0,0,0,0,2.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__spinulosum,-,,-,-,-,-,-,-,Unassigned,-
ASV1706,0,0,0,0,0,0,0,0,0,0,1.27E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16E-05,0,0,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;g__Pseudoanungitea;s__vaccinii,Venturiaceae,Pathotroph-Saprotroph-Symbiotroph,9,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Plant Pathogen-Undefined Saprotroph,Microfungus,NULL,Probable,"Mostly endophytes and weak parasites of aerial plant parts, including bark and wood, leaf and fruit tissue; rarely biotrophic. Little is known except for the important pathogens (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
ASV172,0,3.78E-05,0,2.48E-05,0,6.04E-05,0.000230162,0.001414848,2.88E-05,4.02E-05,9.76E-05,0,3.92E-05,0.000150244,0.000907966,1.99E-05,0,0,0,0,0,0,4.07E-05,0,6.19E-05,0.00010088,8.57E-05,0,0,0.000106781,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__alternata,Alternaria,Pathotroph-Saprotroph-Symbiotroph,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Plant Pathogen-Wood Saprotroph,Microfungus,Soft Rot,Possible,NULL,"b'Duncan CG, Eslyn WE. 1966. Mycologia 58642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
ASV1722,0,0,0,0,0,0,0,0,0,0,0.000110369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Pachyphlodes;s__nemoralis,Pezizaceae,Saprotroph-Symbiotroph,9,Saprotroph-Symbiotroph,Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph,Pezizoid,NULL,Possible,"Saprobic or ectomycorrhizal, on or in soil, leafmould etc., some species associated with dung or fire sites (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
ASV1723,0,5.50E-05,0,2.89E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Lepista;s__nuda,Lepista,Saprotroph,13,Saprotroph,Undefined Saprotroph,Agaricoid,NULL,Probable,NULL,"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
ASV1729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96E-05,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Conocybe;s__tenera,Conocybe,Saprotroph,13,Saprotroph,Undefined Saprotroph,Agaricoid,NULL,Probable,NULL,"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
ASV173,0,0,0,0,0,0,0,0,0,0,0.020626215,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000135161,0,0.000282295,0.001331231,0,0,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria;s__unassigned,Ilyonectria,Pathotroph,13,Pathotroph,Plant Pathogen,NULL,NULL,Probable,NULL,"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
ASV174,0,0.002212116,0,0,0,0,0,0,0.00075542,0,0.005297698,0,0,2.58E-05,0,0,0,0.000516397,0.000190207,0,0,0.000251947,0,0,0,0,0.00066541,0.000674635,0,0,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Anguillospora;s__crassa,Helotiaceae,Aquatic-Hyphomycete,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Microfungus,NULL,Probable,"Usually saprobic on herbaceous or woody tissues, some species fungicolous. A few species are known to form mycorrhizae (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
ASV1742,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae;g__Peniophora;s__piceae,Peniophora,Pathotroph-Saprotroph,13,Pathotroph-Saprotroph,Plant Pathogen-Wood Saprotroph,Corticioid,White Rot,Probable,NULL,"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
ASV1744,0,6.53E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29E-05,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaeta;s__inflorescentiae,Cucurbitariaceae,Pathotroph-Saprotroph,9,Pathotroph-Saprotroph,Plant Pathogen-Wood Saprotroph,Microfungus,NULL,Probable,Necrotrophic or saprobic on woody plants (Cannon & Kirk 2007),"b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
ASV1746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51E-05,0,0,0,0,0,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lindgomycetaceae;g__Clohesyomyces;s__unassigned,-,,-,-,-,-,-,-,Unassigned,-
ASV1751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000103257,0,0,0,0,0,0,0,0,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Reticulascaceae;g__unassigned;s__unassigned,-,,-,-,-,-,-,-,Unassigned,-
ASV176,0.000159114,0.000130529,0.000328182,0.00013638,0,0,0,0,2.88E-05,0,8.49E-05,0,0,0.000231804,7.57E-05,3.49E-05,1.32E-05,5.09E-05,0.000477312,1.62E-05,0.000180437,0,1.36E-05,0,0.000416746,4.04E-05,0.000433525,0.00021646,0,0.000141104,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleraceae;g__Genolevuria;s__unassigned,-,,-,-,-,-,-,-,Unassigned,-
ASV1764,0,0,0,0,0,0,0,0,0,0,0.000135838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Chytridiomycota;c__unassigned;o__unassigned;f__unassigned;g__unassigned;s__unassigned,-,Chytrid,-,-,-,-,-,-,Unassigned,-
ASV177,0,0.012565093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001165764,0,0,0,0,0,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Gyoerffyella;s__unassigned,Gyoerffyella,Aquatic-Hyphomycete,13,Saprotroph,Undefined Saprotroph,NULL,NULL,Probable,NULL,"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
ASV1774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31E-05,0,0,0,0,2.82E-05,0,0,0,0,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Coprinus;s__comatus,Coprinus,Pathotroph-Saprotroph,13,Pathotroph-Saprotroph,Dung Saprotroph-Plant Pathogen,Agaricoid,NULL,Highly Probable,NULL,"b'Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington (ISBN: 978-0864730015); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
ASV1779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36E-05,1.79E-05,0,0,0,0,0,2.82E-05,0,6.05E-05,0,0,0,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Rhytismatales;f__Rhytismataceae;g__unassigned;s__unassigned,Rhytismataceae,Pathotroph-Saprotroph-Symbiotroph,9,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Leaf Saprotroph-Plant Pathogen,Microfungus,NULL,Probable,"Biotrophic, necrotrophic or saprobic on leaves and bark, often initially as endophytes, causing tar spots, premature leaf fall and occasionally witches broom symptoms (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
ASV1789,2.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Panaeolus;s__papilionaceus,Panaeolus,Saprotroph,13,Saprotroph,Dung Saprotroph,Agaricoid,NULL,Probable,NULL,"b'Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127 ((http://www.fungaldiversity.org/fdp/sfdp/FD_8_97-127.pdf))'"
ASV1795,0,0,0,0,0,0,6.97E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24E-05,0,0,0,0,0,0,0,0,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Conocybe;s__unassigned,Conocybe,Saprotroph,13,Saprotroph,Undefined Saprotroph,Agaricoid,NULL,Probable,NULL,"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
ASV1796,0,0,0,0,0,0,0,0.000120079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales;f__Erysiphaceae;g__Sawadaea;s__unassigned,Sawadaea,Pathotroph,13,Pathotroph,Plant Pathogen,NULL,NULL,Probable,NULL,"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
ASV1802,0,0,0,0,0,0,0,0,0,0,0,0,7.51E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Apenidiella;s__foetida,-,,-,-,-,-,-,-,Unassigned,-
ASV1803,0,0,0,0,0,0,3.94E-05,0,0,0,0,0,0,0,8.70E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Parasola;s__auricoma,Parasola,Saprotroph,13,Saprotroph,Undefined Saprotroph,Agaricoid,NULL,Probable,NULL,"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
ASV1805,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,1.51E-05,0,0,0,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Catenulostroma;s__unassigned,Catenulostroma,Pathotroph,13,Pathotroph,Plant Pathogen,NULL,NULL,Probable,NULL,"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
ASV1813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.02E-05,0,0,0,0,0,0,0,0,0,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Apiotrichum;s__lignicola,Apiotrichum,Saprotroph,13,Saprotroph,Soil Saprotroph,Microfungus,NULL,Possible,From forest soil (Calduch et al. 2002),"b'Calduch M, et al. 2002. Mycologia 94:355-361 ((https://doi.org/10.1080/15572536.2003.11833241))'"
ASV182,0,0,0,0,0,0,0,0,0,0,0.006032075,0,0,0,0,0,0,0.00077096,0,0,0,0,0,0,0,0,0,0,0,0.001384344,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__unassigned,Hyaloscypha,Saprotroph,13,Saprotroph,Undefined Saprotroph,NULL,NULL,Probable,NULL,"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
ASV1828,0,0,9.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Ulocladium;s__chartarum,Ulocladium,Pathotroph,13,Pathotroph,Plant Pathogen,NULL,NULL,Probable,NULL,"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
ASV1837,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinopsis;s__villosa,Psathyrellaceae,Saprotroph,9,Saprotroph,Dung Saprotroph-Plant Saprotroph-Wood Saprotroph,Agaricoid,NULL,Probable,"Saprobic, in grass, on dung, rotten wood and similar substrata (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
ASV1838,0,0,5.54E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Phallales;f__Clathraceae;g__Clathrus;s__archeri,Clathrus,Saprotroph,13,Saprotroph,Undefined Saprotroph,Clathroid,NULL,Probable,Common name - stinkhorn,"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
ASV1839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__unassigned;s__unassigned,Dermateaceae,Pathotroph-Saprotroph,9,Pathotroph-Saprotroph,Plant Pathogen-Plant Saprotroph,Microfungus,NULL,Probable,Saprobic or parasitic on herbaceous and woody material (Cannon & Kirk 2007),"b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
ASV1841,0,0,0,2.48E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81E-05,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae;g__Peniophora;s__pithya,Peniophora,Pathotroph-Saprotroph,13,Pathotroph-Saprotroph,Plant Pathogen-Wood Saprotroph,Corticioid,White Rot,Probable,NULL,"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
ASV1843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.92E-05,0,0,0,0,0,0,0,0,0,0,1.44E-05,0,0,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Myrmecridiales;f__unassigned;g__unassigned;s__unassigned,-,,-,-,-,-,-,-,Unassigned,-
ASV1844,0,1.72E-05,0,0,0,0,0,0,0,0,2.12E-05,0,0,0,0,0,0,0.00016001,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__unassigned,Mortierella,Saprotroph-Symbiotroph,13,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,Microfungus,NULL,Probable,Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007),"b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))'"
ASV1858,0,7.21E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Psathyrella;s__lilliputana,Psathyrella,Saprotroph,13,Saprotroph,Wood Saprotroph,Agaricoid,NULL,Probable,NULL,"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
ASV1860,0,0,0,0,0,6.71E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Massariaceae;g__Massaria;s__ulmi,Massaria,Saprotroph,13,Saprotroph,Undefined Saprotroph,NULL,NULL,Probable,NULL,"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
ASV1861,0,0,0,0,0,7.05E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Gloeocystidiellaceae;g__Gloeocystidiellum;s__porosum,Gloeocystidiellum,Saprotroph,13,Saprotroph,Undefined Saprotroph,NULL,White Rot,Probable,NULL,"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
ASV1880,0,0,0,1.24E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Erythrobasidiales;f__Erythrobasidiales_fam_Incertae_sedis;g__Cyrenella;s__elegans,-,,-,-,-,-,-,-,Unassigned,-
ASV1888,0,0,0,0,0,6.71E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae;g__Botrytis;s__unassigned,Botrytis,Pathotroph-Saprotroph,13,Pathotroph-Saprotroph,NULL,Facultative Yeast-Microfungus,NULL,Probable,NULL,"b'Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego (ISBN: 9780444521491)'"
ASV1889,0,0,0,0,0,6.71E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Parmeliaceae;g__Parmelia;s__sulcata,Parmelia,Symbiotroph,13,Symbiotroph,Lichenized,Thallus,NULL,Highly Probable,NULL,b'Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))'
ASV1898,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Chaetothyriaceae;g__unassigned;s__unassigned,Chaetothyriaceae,Pathotroph-Symbiotroph,9,Pathotroph-Symbiotroph,Epiphyte-Plant Pathogen,Microfungus,NULL,Possible,"Epiphytic or biotrophic on living leaves, very little is known (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
ASV19,9.40E-05,4.12E-05,0,0,0,0,3.94E-05,0,0.000105631,0.000245164,0.006838615,9.89E-05,1.96E-05,0.041900796,0,0,0.000193501,0.000923697,0.013687716,0,0,0.009016414,0,2.81E-05,0,0,5.55E-05,0.002114096,0,0,k__Fungi;p__Basidiomycota;c__Atractiellomycetes;o__Atractiellales;f__Atractiellales_fam_Incertae_sedis;g__unassigned;s__unassigned,-,,-,-,-,-,-,-,Unassigned,-
ASV190,0,0.000103049,0,4.13E-05,0,0,0,0,1.92E-05,0,0.000101879,0,0,0,2.27E-05,0,1.76E-05,0,1.08E-05,0,0,0,0,0,2.82E-05,1.61E-05,0.000292377,5.05E-05,0,5.72E-05,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Tremella;s__unassigned,-,,-,-,-,-,-,-,Unassigned,-
ASV1903,0,0,4.26E-05,0,0,0,0,0,0,0,0,0,0,2.58E-05,0,0,1.76E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Agaricus;s__subsp._annetteae,Agaricaceae,Saprotroph,9,Saprotroph,Undefined Saprotroph,Agaricoid-Gasteroid-Secotioid,NULL,Probable,Primarily saprobes in grassland and woodland situations (Cannon & Kirk 2007),"b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
ASV1906,5.06E-05,0,2.56E-05,0,0,0,0,0,0,0,0,0,0,0,0,5.48E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29E-05,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia;s__unassigned,-,,-,-,-,-,-,-,Unassigned,-
ASV1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14E-05,0,5.42E-05,0,0,0,0,0,0,0,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinopsis;s__candidolanata,Psathyrellaceae,Saprotroph,9,Saprotroph,Dung Saprotroph-Plant Saprotroph-Wood Saprotroph,Agaricoid,NULL,Probable,"Saprobic, in grass, on dung, rotten wood and similar substrata (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
ASV1947,0,0,0,1.65E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05E-05,0,0,0,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Myrmecridiales;f__Myrmecridiaceae;g__Myrmecridium;s__unassigned,Myrmecridium,Saprotroph,13,Saprotroph,Undefined Saprotroph,NULL,NULL,Probable,NULL,"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
